"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";"rynek wtórny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2019;[zł]";"rynek wtórny;ogółem;2020;[zł]";"rynek wtórny;ogółem;2021;[zł]";"rynek wtórny;ogółem;2022;[zł]";"rynek wtórny;do 40 m2;2018;[zł]";"rynek wtórny;do 40 m2;2019;[zł]";"rynek wtórny;do 40 m2;2020;[zł]";"rynek wtórny;do 40 m2;2021;[zł]";"rynek wtórny;do 40 m2;2022;[zł]";"rynek wtórny;od 40,1 do 60 m2;2018;[zł]";"rynek wtórny;od 40,1 do 60 m2;2019;[zł]";"rynek wtórny;od 40,1 do 60 m2;2020;[zł]";"rynek wtórny;od 40,1 do 60 m2;2021;[zł]";"rynek wtórny;od 40,1 do 60 m2;2022;[zł]";"rynek wtórny;od 60,1 do 80 m2;2018;[zł]";"rynek wtórny;od 60,1 do 80 m2;2019;[zł]";"rynek wtórny;od 60,1 do 80 m2;2020;[zł]";"rynek wtórny;od 60,1 do 80 m2;2021;[zł]";"rynek wtórny;od 60,1 do 80 m2;2022;[zł]";"rynek wtórny;od 80,1 m2;2018;[zł]";"rynek wtórny;od 80,1 m2;2019;[zł]";"rynek wtórny;od 80,1 m2;2020;[zł]";"rynek wtórny;od 80,1 m2;2021;[zł]";"rynek wtórny;od 80,1 m2;2022;[zł]";
0600000;"LUBELSKIE";281073;288495;298597;326332;;180997;189852;207399;219672;;254457;267477;286968;306526;;337185;344886;358442;398288;;481732;575288;555597;592152;;204781;231116;256195;295079;;137449;151295;169746;204428;;204435;227742;252008;290776;;262630;293704;326731;372577;;396897;435932;474855;529321;;
0601000;"Powiat bialski";170764;154723;188112;196859;;0;107425;0;144048;;144675;143927;163524;178681;;180547;208662;210794;239734;;0;0;302994;345744;;148847;147867;146364;163184;;110000;110873;103273;113691;;144667;152884;165579;158690;;148291;198400;182667;0;;0;0;0;253092;;
0602000;"Powiat biłgorajski";183215;221246;228112;253026;;0;138225;136291;144732;;167883;185408;209474;217078;;237601;281930;255212;301713;;0;0;442507;0;;166422;162651;167662;204722;;97214;101473;91250;129051;;160372;158481;169125;214537;;238615;214011;248174;255818;;0;0;0;238992;;
0603000;"Powiat chełmski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;105969;112086;129012;116367;;64171;67571;91850;74351;;110273;106781;139750;132718;;136625;178167;175964;150727;;0;0;0;0;;
0604000;"Powiat hrubieszowski";0;0;160336;183934;;0;0;0;0;;0;0;0;0;;0;0;160336;183934;;0;0;0;0;;104675;115692;117908;136816;;75024;68950;84672;97450;;103047;115331;123567;138280;;155929;184819;136200;184964;;0;0;279833;0;;
0605000;"Powiat janowski";0;244302;0;0;;0;0;0;0;;0;245332;0;0;;0;0;0;0;;0;0;0;0;;124177;182281;180156;180627;;98056;0;108250;142391;;124056;172818;181333;201250;;154833;221666;0;238333;;0;0;0;0;;
0606000;"Powiat krasnostawski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;114379;145075;175053;193470;;81250;95389;118000;136571;;132467;145071;171625;200071;;129375;194767;249000;259583;;0;0;0;0;;
0607000;"Powiat kraśnicki";159176;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;110557;132821;159282;189351;;76580;94900;102882;129327;;121268;139384;176856;196957;;161692;198500;213636;275798;;0;0;0;350344;;
0608000;"Powiat lubartowski";206833;195200;230163;267087;;142500;0;159700;181440;;197107;0;232400;253950;;252557;0;295256;338022;;0;0;0;0;;159989;193436;211078;227051;;130000;127185;130500;146599;;161313;195682;210353;244869;;190036;248887;290067;322419;;0;281333;256667;0;;
0609000;"Powiat lubelski";235482;266119;335691;388780;;160430;169782;0;185782;;217937;238363;237565;264088;;274116;273729;292542;364270;;406387;527125;503133;571240;;249636;278067;346445;385269;;140256;118207;190444;135500;;186533;188036;234719;287279;;261981;319900;339806;359064;;500860;538884;541019;610009;;
