"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";
0464000;"Powiat m. Włocławek";41817059;33264378;15915360;27567904;;4059647;3217148;3241902;3713553;;21393417;16964010;4206836;14524891;;14343573;10866037;5091901;8479560;;2020422;2217183;3374721;0;;
0600000;"LUBELSKIE";951432952;869523301;1158856622;1193068629;;100815207;117898071;194747587;187380517;;410438613;386771157;534047465;522013254;;338533619;269356326;310052616;344519241;;101645513;95497747;120008954;139155617;;
0601000;"Powiat bialski";1878401;9902248;15425214;16733008;;0;1396526;0;1872626;;434026;4893526;8666794;8576707;;1444375;3338596;4637464;4554953;;0;0;2120956;1728722;;
0602000;"Powiat biłgorajski";2565009;12389789;35585461;11133146;;0;414674;2044372;578929;;1343063;6118449;16338948;3907399;;712804;5356666;14547101;6034262;;0;0;2655040;0;;
0603000;"Powiat chełmski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0604000;"Powiat hrubieszowski";0;0;641344;919671;;0;0;0;0;;0;0;0;0;;0;0;641344;919671;;0;0;0;0;;
0605000;"Powiat janowski";0;5374640;0;0;;0;0;0;0;;0;5151970;0;0;;0;0;0;0;;0;0;0;0;;
0606000;"Powiat krasnostawski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0607000;"Powiat kraśnicki";477528;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0608000;"Powiat lubartowski";5584500;976000;10127160;8012600;;570000;0;1597000;907200;;2956600;0;5577600;4063200;;1767900;0;2952560;3042200;;0;0;0;0;;
